index,contract,invoice_type,billing_type,1,2,3,4,5,6,7,8,9,10,11,12,fraud_consumption,fraud_flag,SERVICE_STATUS,POWER_SUSCRIBED,TARIFF,ACTIVITY_CMS,READWITH,SEGMENT,agency,zone,block
4355370,200266747,0,1,145,147,134,205,225,241,83,128,147,185,295,277,1980,1,2,6.6,1,6,3,3,827,11,0
396622,200266748,0,1,4,463,416,281,123,80,209,329,276,519,369,476,1980,1,2,13.2,1,6,3,3,827,11,0
112375,200266750,0,1,448,491,306,209,116,159,105,157,264,49,420,546,1980,1,2,13.2,1,6,3,3,827,11,0
12794682,200266751,0,1,264,363,299,244,264,301,287,932,319,314,359,204,1584,1,2,6.6,1,3,3,1,827,11,0
10276557,200267011,0,1,262,429,464,428,405,338,342,260,288,408,261,283,1980,1,1,6.6,1,6,1,3,827,10,0
4337582,200267530,0,1,115,145,154,131,87,107,83,104,79,57,64,113,2851,1,4,3.3,1,3,1,1,827,10,0
3934953,200268128,0,1,166,212,75,266,1107,484,585,538,537,359,370,1112,2851,1,1,13.2,1,26,1,2,827,11,0
6334556,200269599,0,1,138,184,184,278,336,282,176,180,163,177,133,210,11405,1,1,2.2,1,6,1,5,827,11,0
8988361,200270373,0,2,22,25,21,17,15,2,91,0,0,0,0,0,634,1,1,6.6,1,6,1,4,827,15,0
2401601,200270373,0,1,22,25,21,17,15,2,91,0,0,0,0,0,634,1,1,6.6,1,6,1,4,827,15,0
7289354,200271535,0,1,9,20,41,615,632,175,0,0,0,0,0,0,3802,1,2,6.6,1,6,1,4,827,17,0
11736580,200273238,0,1,0,,,,2,46,11,11,81,188,25,0,3168,1,2,6.6,1,3,1,2,827,18,0
9091616,200274721,0,1,207,216,601,403,352,336,210,64,278,245,247,263,4277,1,1,6.6,1,6,1,4,827,20,0
4764682,200275426,0,1,131,128,110,170,104,19,317,106,49,166,149,139,6970,1,1,1.1,1,3,1,1,827,22,0
9782863,200276068,0,1,501,281,1610,445,303,342,483,,529,161,14,0,634,1,1,2.2,1,6,1,5,827,25,0
4029,200278386,0,1,78,5,64,33,170,105,,,,,,1,3802,1,1,2.2,1,6,1,5,827,27,0
403412,200282146,0,1,253,277,292,75,162,132,141,139,113,137,130,129,3960,1,1,13.2,1,10,2,2,828,3,0
7114497,200282726,0,1,515,450,567,570,638,419,587,727,787,828,761,1008,1901,1,1,9.9,1,3,2,2,828,2,0
13010385,200284170,0,1,288,226,192,236,292,247,265,295,173,322,309,0,1584,1,4,2.2,1,6,1,5,828,4,0
12521685,200284884,0,2,,,,53,195,,,176,180,0,0,938,1980,1,1,6.6,1,3,2,2,828,3,0
13337608,200284884,0,1,,,,53,195,,,176,180,0,0,938,1980,1,1,6.6,1,3,2,2,828,3,0
3243794,200285005,0,1,757,637,1007,1296,939,973,1066,1052,684,1733,1618,1610,2851,1,1,19.8,1,3,1,2,828,4,0
4772587,200285499,0,2,119,105,115,,105,128,118,100,44,74,0,352,2851,1,1,13.2,1,6,2,4,828,4,0
8967238,200285499,0,1,119,105,115,,105,128,118,100,44,74,0,352,2851,1,1,13.2,1,6,2,4,828,4,0
8976932,200286006,0,1,204,,3986,0,,,,,499,,454,,29134,1,2,19.8,1,3,1,2,828,5,0
9672889,200286006,0,2,204,,3986,0,,,,,499,,454,,29134,1,2,19.8,1,3,1,2,828,5,0
8546205,200286834,0,2,107,129,87,140,60,16,0,0,181,353,155,4,3168,1,1,8.8,1,10,1,1,828,5,0
4945942,200286834,0,1,107,129,87,140,60,16,0,0,181,353,155,4,3168,1,1,8.8,1,10,1,1,828,5,0
324744,200287524,0,2,71,19,33,40,24,22,47,32,37,34,33,,1267,1,4,6.6,1,10,1,2,828,6,0
10932955,200287524,0,1,71,19,33,40,24,22,47,32,37,34,33,,1267,1,4,6.6,1,10,1,2,828,6,0
11078527,200287525,0,1,101,101,99,100,102,99,101,96,94,100,98,,475,1,1,2.2,1,6,1,5,828,6,0
4667120,200287525,0,2,101,101,99,100,102,99,101,96,94,100,98,,475,1,1,2.2,1,6,1,5,828,6,0
2202349,200287635,0,1,0,0,,,,0,,,,,,,4277,1,1,13.2,1,6,1,4,828,7,0
9137054,200287841,0,2,,,,,,,0,,,,,,2851,1,2,6.6,1,6,1,4,828,6,0
1499996,200288156,0,1,,,,,274,0,0,13,9,252,67,,7603,1,2,2.2,1,3,1,1,828,7,0
5070601,200289531,0,1,318,378,220,261,229,,,,,,,,19545,1,2,4.4,1,6,1,3,828,8,0
13420791,200289982,0,1,108,21,185,120,61,83,1,0,0,0,,,3168,1,2,2.2,1,6,1,5,828,9,0
12955408,200291541,0,2,,,,,235,0,,788,311,261,275,296,1901,1,4,6.6,1,6,1,4,735,15,0
463564,200291541,0,1,,,,,235,0,,788,311,261,275,296,1901,1,4,6.6,1,6,1,4,735,15,0
12062410,200294039,0,1,,,,,0,5,,,,,,,1584,1,4,6.6,1,6,1,4,735,26,0
11991109,200294139,0,2,233,291,27,57,225,334,226,209,178,173,170,98,1901,1,4,16.5,1,3,1,2,735,26,0
11892581,200294139,0,1,233,291,27,57,225,334,226,209,178,173,170,98,1901,1,4,16.5,1,3,1,2,735,26,0
3538596,200296439,0,2,63,72,67,117,76,101,102,0,,399,515,485,3168,1,1,3.3,1,15,1,1,829,1,0
6400994,200296439,0,1,63,72,67,117,76,101,102,0,,399,515,485,3168,1,1,3.3,1,15,1,1,829,1,0
10286257,200297144,0,1,,,,,0,,,,,,,0,3168,1,4,19.8,1,6,1,4,829,2,0
7997792,200297144,0,2,,,,,0,,,,,,,0,3168,1,4,19.8,1,6,1,4,829,2,0
5486403,200297480,0,1,417,1208,1987,56,,1357,1081,726,1158,,1273,1217,20275,1,1,6.6,1,3,2,2,829,1,0
3515612,200297534,0,1,,826,145,265,219,211,200,222,210,168,199,0,1901,1,2,6.6,1,3,1,1,829,1,0
5748065,200297817,0,2,108,110,412,91,127,103,96,85,36,73,78,95,3326,1,1,8.8,1,6,1,3,829,1,0
11759448,200297817,0,1,108,110,412,91,127,103,96,85,36,73,78,95,3326,1,1,8.8,1,6,1,3,829,1,0
13281432,200298691,0,1,682,629,627,632,642,660,649,688,520,604,607,586,5702,1,1,19.8,1,6,1,4,829,4,0
9323585,200298806,0,1,280,138,158,155,145,143,147,,,108,90,99,634,1,2,2.2,1,6,3,5,829,4,0
4715287,200298893,0,1,165,136,90,247,116,113,131,132,,,19,60,634,1,2,2.2,1,6,3,5,829,4,0
10056981,200298941,0,1,1053,1237,1269,1330,1438,1529,1713,1313,949,1113,1694,1016,1901,1,1,19.8,1,6,1,4,829,2,0
6127526,200298981,0,1,1,218,234,48,61,46,68,70,28,40,33,49,1980,1,2,2.2,1,5,3,1,829,4,0
11564412,200299377,0,1,12,15,64,177,184,163,185,200,,,,182,634,1,2,2.2,1,6,3,5,829,2,0
2084694,200299380,0,1,0,0,0,0,,,,,0,,,999,634,1,2,39.6,1,6,3,4,829,2,0
8040548,200299408,0,1,1331,3358,2847,2831,2460,3622,2580,2495,2735,1800,0,0,12672,1,2,6.6,1,3,1,2,829,3,0
5331893,200299446,0,1,78,1589,338,400,388,385,306,304,252,342,398,370,6336,1,1,13.2,1,6,1,3,829,4,0
5196719,200299489,0,1,1829,3446,2267,3748,2525,2832,2648,3171,1986,1805,0,0,17741,1,2,39.6,1,3,1,2,829,3,0
1078326,200299728,0,1,1218,1096,1350,1097,1323,1260,3499,1650,1457,2106,704,3235,9504,1,1,19.8,1,3,2,2,829,4,0
5337944,200299912,0,1,,,,,,2761,404,44,,,0,0,634,1,4,6.6,1,6,1,3,829,4,0
5364537,200300269,0,1,154,147,156,164,162,123,119,119,45,62,56,64,3326,1,1,6.6,1,6,1,3,829,6,0
6703258,200300963,0,1,173,55,61,74,86,91,13,82,65,71,69,66,950,1,1,6.6,1,6,1,3,829,5,0
8134573,200300963,0,2,173,55,61,74,86,91,13,82,65,71,69,66,950,1,1,6.6,1,6,1,3,829,5,0
5981225,200301491,0,2,48,71,61,58,58,45,41,56,48,64,57,0,634,1,2,2.2,1,6,3,5,829,7,0
13208152,200301491,0,1,48,71,61,58,58,45,41,56,48,64,57,0,634,1,2,2.2,1,6,3,5,829,7,0
2357201,200301663,0,1,44,55,31,104,171,186,230,223,5,56,60,69,1980,1,2,2.2,1,6,3,5,829,7,0
9792468,200302014,0,1,285,213,124,203,190,153,171,149,238,280,248,436,1584,1,1,2.2,1,6,1,5,829,6,0
9308901,200302460,0,1,244,269,268,244,239,185,217,963,933,828,804,844,3960,1,4,6.6,1,6,2,4,829,6,0
9528788,200302549,0,1,320,236,276,316,330,325,267,284,259,268,213,279,1980,1,4,19.8,1,6,1,4,829,6,0
4674545,200302632,0,2,103,89,135,235,148,112,150,114,222,193,0,0,3168,1,1,6.6,1,6,1,3,829,6,0
10443153,200302632,0,1,103,89,135,235,148,112,150,114,222,193,0,0,3168,1,1,6.6,1,6,1,3,829,6,0
969084,200302732,0,1,34,151,180,175,281,330,185,139,157,146,192,0,1901,1,2,2.2,1,6,1,5,0,0,0
11343172,200302772,0,1,45,71,58,48,67,78,38,28,16,57,48,73,1980,1,2,2.2,1,6,3,5,829,7,0
5799314,200303112,0,1,658,871,768,599,329,480,656,,335,1360,445,382,9979,1,1,39.6,1,6,1,4,829,9,0
10151356,200303966,0,1,46,55,54,43,25,27,11,10,24,82,77,343,2851,1,2,2.2,1,6,3,5,829,9,0
292219,200304080,0,1,602,678,717,998,1265,1155,939,1061,1015,1377,1526,1273,5702,1,1,13.2,1,3,2,1,829,7,0
10599340,200304503,0,2,1036,0,0,3225,650,1048,765,445,420,330,343,323,1980,1,4,6.6,1,6,1,4,829,10,0
7795563,200304503,0,1,1036,0,0,3225,650,1048,765,445,420,330,343,323,1980,1,4,6.6,1,6,1,4,829,10,0
4976888,200304787,0,1,165,516,528,469,334,353,303,332,312,4,500,400,634,1,1,2.2,1,6,1,5,829,10,0
12689293,200305304,0,1,71,104,98,155,141,83,83,132,126,111,134,194,634,1,2,4.4,1,6,1,3,829,10,0
4361145,200306218,0,2,0,695,38,5,36,30,0,10,20,20,18,13,1267,1,1,2.2,1,3,1,1,829,11,0
9565973,200306218,0,1,0,695,38,5,36,30,0,10,20,20,18,13,1267,1,1,2.2,1,3,1,1,829,11,0
7001422,200306367,0,1,,,,182,149,136,128,124,124,436,125,203,1980,1,2,2.2,1,6,3,5,829,10,0
7000818,200306992,0,1,304,472,260,306,331,347,363,349,453,339,441,401,3326,1,1,6.6,1,6,1,4,829,11,0
7303601,200307715,0,1,137,156,108,144,125,132,133,1066,366,450,2137,590,1584,1,1,4.4,1,6,1,3,829,13,0
6778342,200307737,0,2,104,164,65,146,0,0,0,816,446,376,475,434,7478,1,1,13.2,1,6,1,4,829,13,0
3120118,200307737,0,1,104,164,65,146,0,0,0,816,446,376,475,434,7478,1,1,13.2,1,6,1,4,829,13,0
4312505,200308055,0,1,231,295,188,0,196,190,0,0,48,24,0,0,634,1,4,4.4,1,6,1,3,829,11,0
12831489,200309054,0,1,366,320,294,312,284,303,408,,184,372,899,142,2851,1,4,2.2,1,6,1,5,829,14,0
11339604,200309133,0,1,,,,,,,,,,,0,,475,1,2,2.2,1,6,1,5,829,14,0
12304741,200309574,0,1,61,20,20,669,71,211,276,,,,,,950,1,3,13.2,1,6,1,3,829,14,0
11703299,200310239,0,1,0,50,0,0,,0,0,,0,0,0,0,1584,1,2,3.3,1,6,1,5,829,15,0
8737095,200310239,0,2,0,50,0,0,,0,0,,0,0,0,0,1584,1,2,3.3,1,6,1,5,829,15,0
10068406,200310242,0,2,192,218,0,485,563,436,434,373,372,381,332,327,3802,1,4,2.2,1,3,1,1,829,15,0
7429349,200310242,0,1,192,218,0,485,563,436,434,373,372,381,332,327,3802,1,4,2.2,1,3,1,1,829,15,0
3371847,200310485,0,1,384,,,,,,,,,1,0,0,6970,1,1,9.9,1,6,1,4,829,17,0
1988516,200311692,0,1,67,,,,,,,,,0,0,0,1584,1,1,19.8,1,6,1,4,829,17,0
2310190,200312195,0,1,1101,550,910,,766,397,0,19,500,,627,574,6653,1,1,6.6,1,3,2,2,829,17,0
520506,200312465,0,1,510,498,475,59,0,0,0,0,0,0,0,0,1901,1,4,2.2,1,6,1,5,829,17,0
2026650,200313520,0,1,266,220,366,309,280,288,284,259,252,385,278,347,475,1,4,2.2,1,6,1,5,829,18,0
12988984,200313615,0,1,405,314,399,217,237,180,177,141,163,152,133,181,1267,1,1,2.2,1,3,1,1,829,18,0
9210909,200314510,0,1,563,523,204,124,118,117,102,98,110,992,406,187,3960,1,4,5.5,1,3,1,1,829,18,0
10014176,200314595,0,1,153,120,137,136,211,87,427,253,200,197,117,106,3326,1,1,2.2,1,6,1,5,829,18,0
4304452,200315651,0,2,,436,242,125,0,157,162,0,147,172,152,125,950,1,2,6.6,1,10,3,1,831,3,0
8499092,200315651,0,1,,436,242,125,0,157,162,0,147,172,152,125,950,1,2,6.6,1,10,3,1,831,3,0
10446629,200323520,0,1,511,389,326,4,326,300,320,206,204,330,2749,842,7603,1,1,6.6,1,3,2,2,831,7,0
2225953,200323934,0,1,130,185,163,142,109,148,74,81,70,418,338,387,3960,1,1,6.6,1,6,1,4,831,8,0
9418430,200324446,0,1,752,993,660,97,128,81,73,111,75,101,93,106,1901,1,2,2.2,1,3,1,1,831,7,0
7445643,200324448,0,1,639,627,545,572,613,590,457,493,487,561,427,660,3168,1,1,2.2,1,6,2,5,831,7,0
12858835,200324952,0,1,109,128,123,120,127,497,449,218,110,324,391,257,1267,1,1,3.3,1,3,1,1,831,14,0
8543144,200326030,0,1,2234,1955,510,1217,1064,856,876,841,604,948,369,746,4277,1,1,6.6,1,3,2,1,831,10,0
1425147,200326030,0,2,2234,1955,510,1217,1064,856,876,841,604,948,369,746,4277,1,1,6.6,1,3,2,1,831,10,0
11712528,200326617,0,1,23,26,23,34,22,23,0,,,,,,4277,1,2,2.2,1,6,1,5,831,13,0
8417028,200327684,0,1,,40,794,157,100,1145,197,,,1478,422,0,21542,1,2,6.6,1,22,1,2,831,16,0
7835330,200327684,0,2,,40,794,157,100,1145,197,,,1478,422,0,21542,1,2,6.6,1,22,1,2,831,16,0
12956940,200328120,0,2,28,35,13,12,37,12,0,,,,,,1584,1,2,2.2,1,6,1,5,831,14,0
8565527,200328120,0,1,28,35,13,12,37,12,0,,,,,,1584,1,2,2.2,1,6,1,5,831,14,0
4398270,200328581,0,1,464,449,506,504,609,520,534,559,441,532,570,274,950,1,1,3.3,1,3,1,1,831,14,0
7895845,200329712,0,1,53,112,112,104,85,99,98,93,133,158,166,123,1267,1,1,6.6,1,3,1,2,831,16,0
2274810,200329907,0,2,1563,805,818,831,840,902,846,895,0,,,1615,3802,1,1,39.6,1,3,2,2,831,15,0
908150,200329907,0,1,1563,805,818,831,840,902,846,895,0,,,1615,3802,1,1,39.6,1,3,2,2,831,15,0
4289539,200329973,0,1,70,315,225,334,249,364,35,19,17,141,261,395,2851,1,1,6.6,1,9,2,2,831,16,0
12386917,200331394,0,1,295,645,432,99,112,105,110,111,109,119,109,110,1267,1,4,6.6,1,17,2,2,831,16,0
2203698,200331974,0,1,47,,93,46,42,32,40,54,47,73,32,62,3960,1,1,6.6,1,6,1,4,832,1,0
13521331,200332465,0,2,382,315,308,328,0,,910,277,259,532,300,303,3802,1,1,19.8,1,6,1,4,832,2,0
5607181,200332465,0,1,382,315,308,328,0,,910,277,259,532,300,303,3802,1,1,19.8,1,6,1,4,832,2,0
1495908,200332632,0,2,456,2019,1475,561,709,509,500,620,794,2150,718,1471,3960,1,1,19.8,1,22,2,2,832,2,0
2890871,200332632,0,1,456,2019,1475,561,709,509,500,620,794,2150,718,1471,3960,1,1,19.8,1,22,2,2,832,2,0
12855041,200333034,0,1,178,289,563,532,462,310,342,183,212,385,286,361,1584,1,4,2.2,1,6,1,5,832,1,0
1021934,200333600,0,1,29,20,21,9,4,10,6,4,13,13,33,26,634,1,2,3.3,1,6,1,5,832,1,0
11098206,200334349,0,1,681,578,549,636,582,468,0,558,673,914,850,917,3326,1,1,6.6,1,6,2,4,832,3,0
2677228,200334349,0,2,681,578,549,636,582,468,0,558,673,914,850,917,3326,1,1,6.6,1,6,2,4,832,3,0
1155149,200335287,0,1,43,153,73,75,123,172,128,109,193,242,,0,6653,1,2,4.4,1,3,1,1,832,5,0
13018059,200335967,0,2,226,143,162,163,156,0,,,,0,,,20275,1,2,19.8,1,3,1,2,832,5,0
234796,200335967,0,1,226,143,162,163,156,0,,,,0,,,20275,1,2,19.8,1,3,1,2,832,5,0
2910869,200336761,0,1,,1049,687,751,824,819,758,616,590,627,133,1082,1980,1,1,6.6,1,6,1,4,832,7,0
5642030,200337458,0,1,90,103,91,72,89,,,,,43,,,1901,1,2,2.2,1,6,1,5,832,6,0
362397,200337551,0,2,330,373,35,249,57,0,337,234,186,16,403,168,1267,1,2,2.2,1,3,3,1,832,6,0
7241834,200337551,0,1,330,373,35,249,57,0,337,234,186,16,403,168,1267,1,2,2.2,1,3,3,1,832,6,0
10113144,200337639,0,1,112,82,71,72,73,0,354,125,73,88,44,17,634,1,2,2.2,1,6,1,5,832,6,0
11751681,200337694,0,1,669,704,896,680,766,546,656,558,235,766,662,623,3168,1,1,6.6,1,18,2,2,832,7,0
5134058,200338440,0,1,139,137,148,159,156,127,123,100,115,131,140,140,1901,1,1,39.6,1,6,2,4,832,8,0
7506593,200339265,0,1,4627,12990,4398,4763,4479,6650,6227,6778,14018,13032,10225,14549,20115,1,1,6.6,1,3,2,2,832,10,0
11663261,200341036,0,1,,,0,,0,0,0,0,,,,,29485,1,2,6.6,1,3,1,2,833,2,0
11302882,200341802,0,1,74,78,391,271,337,205,299,396,338,384,315,238,634,1,1,2.2,1,6,1,5,833,1,0
1469640,200341934,0,1,226,276,249,0,228,217,234,230,211,264,237,229,1584,1,1,2.2,1,6,1,5,833,2,0
11387448,200342483,0,1,23,23,150,370,35,801,261,0,0,91,240,210,10138,1,2,2.2,1,6,1,5,833,2,0
10183244,200342651,0,1,109,91,123,99,110,89,96,102,102,104,130,119,950,1,2,4.4,1,3,3,1,833,3,0
12448874,200343142,0,1,15,64,18,20,21,23,23,8,8,8,11,0,1980,1,1,2.2,1,6,1,5,833,4,0
2841300,200343142,0,2,15,64,18,20,21,23,23,8,8,8,11,0,1980,1,1,2.2,1,6,1,5,833,4,0
10113945,200343219,0,1,259,244,235,150,219,269,254,175,194,200,210,193,634,1,1,2.2,1,6,1,5,833,3,0
6859131,200343286,0,1,166,49,57,204,175,234,94,136,111,211,120,40,1584,1,1,2.2,1,23,1,1,833,3,0
4446049,200343291,0,1,338,328,312,161,237,259,279,240,222,225,205,211,238,1,2,2.2,1,6,1,5,833,3,0
5267375,200343302,0,1,223,175,177,30,36,,40,41,28,30,47,60,950,1,2,13.2,1,3,3,1,833,3,0
7368861,200344304,0,1,20,,1,0,0,0,0,0,0,0,0,0,7603,1,1,2.2,1,6,1,5,833,5,0
7214221,200344709,0,1,300,342,301,362,350,400,344,354,370,409,407,368,6970,1,1,2.2,1,6,1,5,833,4,0
12966635,200345292,0,1,,214,176,171,198,169,430,182,163,147,148,184,1584,1,1,2.2,1,3,1,1,833,5,0
10946514,200345747,0,1,277,343,279,303,281,273,297,282,266,255,230,1502,950,1,2,2.2,1,6,1,5,833,6,0
4122974,200345766,0,1,0,0,0,340,853,761,29,0,320,360,378,346,11405,1,1,3.3,1,6,2,5,833,6,0
